time_s,pitch_hz,pitch_confidence,loudness_db
0.0,222.1199114790646,0.71677387,-16.438457489013672
0.01,221.98183384997037,0.81274956,-15.761608123779297
0.02,220.93499491944357,0.895488,-15.144451141357422
0.03,220.82824197418987,0.87328905,-14.568232536315918
0.04,220.39424940417143,0.85779953,-13.943050384521484
0.05,220.4646235429635,0.82794595,-13.556840896606445
0.06,220.5084642327222,0.81052923,-13.176289558410645
0.07,220.81415387694267,0.818636,-12.969148635864258
0.08,220.94662916157483,0.858354,-13.004528045654297
0.09,220.87545746892062,0.8882173,-12.95676326751709
0.1,220.66133463847595,0.916656,-12.981775283813477
0.11,220.36882352345543,0.9178991,-12.97934627532959
0.12,220.2397192076533,0.9170076,-12.96146297454834
0.13,220.19248702561043,0.9034259,-12.887063026428223
0.14,220.0682714167309,0.8990271,-12.858868598937988
0.15,220.16023632238839,0.91960925,-13.026573181152344
0.16,220.22455346486908,0.92088044,-12.976753234863281
0.17,220.1986259137463,0.9298731,-12.94088363647461
0.18,220.33493171668792,0.9361859,-12.827239990234375
0.19,220.39880641361333,0.939738,-12.695807456970215
0.2,220.47308927648174,0.94325745,-12.632798194885254
0.21,220.14422404716467,0.92943496,-12.508049964904785
0.22,220.03491141402048,0.8928791,-12.26722526550293
0.23,219.4137406307916,0.8474892,-12.099063873291016
0.24,220.24061217511073,0.8331125,-11.90731430053711
0.25,220.9899694281266,0.86423224,-11.848864555358887
0.26,221.40287036690356,0.8616622,-11.86536979675293
0.27,220.8768679183238,0.8855239,-11.800609588623047
0.28,219.83077211331678,0.78725004,-11.637587547302246
0.29,220.15208255892662,0.6873396,-11.5745267868042
0.3,220.62673054921254,0.79101306,-11.549163818359375
0.31,220.8610009478282,0.83585113,-11.58987045288086
0.32,221.3524509716127,0.8996754,-11.490355491638184
0.33,221.47346846544121,0.88778377,-11.483832359313965
0.34,220.83427239948423,0.87321144,-11.470075607299805
0.35,220.45816723985757,0.8829298,-11.673961639404295
0.36,220.50119515695357,0.8841582,-11.660364151000977
0.37,220.59529246617373,0.90437317,-11.77855396270752
