time_s,pitch_hz,pitch_confidence,loudness_db
0.0,43.92726889599051,0.026859071,-20.945789337158203
0.01,43.73849028065776,0.05246814,-20.439239501953125
0.02,43.480734991730955,0.021694548,-20.023048400878906
0.03,47.25511134129587,0.05387348,-19.663206100463867
0.04,49.82206751983098,0.21384841,-19.155508041381836
0.05,49.436626109094945,0.28208247,-18.778766632080078
0.06,49.54029450115094,0.063008495,-18.44651985168457
0.07,50.40429670201355,0.043470904,-18.152772903442383
0.08,49.35589897455905,0.13688436,-17.865442276000977
0.09,48.987198967811224,0.32425538,-17.76394271850586
0.1,49.58713791241305,0.3573942,-17.751205444335938
0.11,52.05311765912693,0.29079,-17.6872501373291
0.12,52.356640495869904,0.33261424,-17.334693908691406
0.13,52.07814580545629,0.3357841,-16.99852180480957
0.14,51.06118665133103,0.2789722,-16.58728790283203
0.15,51.39148364337798,0.30443034,-16.309513092041016
0.16,51.35626140493693,0.06284213,-16.067224502563477
0.17,50.30749076942358,0.20720051,-15.957061767578125
0.18,51.1721585302662,0.10919389,-15.980095863342285
0.19,52.21369509762252,0.15620634,-15.944938659667969
0.2,52.46600732635333,0.12488643,-15.76175594329834
0.21,52.565038766651554,0.12599783,-15.771403312683105
0.22,52.43105919703098,0.2508849,-15.67935848236084
0.23,52.26136243461192,0.30260292,-15.606745719909668
0.24,52.16718640994755,0.2211403,-15.758353233337402
0.25,49.070609703446195,0.22322455,-16.005990982055664
0.26,53.96354656009163,0.16209899,-16.19931983947754
0.27,53.55112065910085,0.19288984,-16.442903518676758
0.28,51.31700543955253,0.3077993,-16.737041473388672
0.29,52.06401215401983,0.30979666,-17.059825897216797
0.3,52.25336487892788,0.4544484,-17.240650177001953
0.31,52.1257218243604,0.43820077,-17.20250129699707
0.32,52.02108900680096,0.3583709,-17.239376068115234
0.33,52.248151024801956,0.13277778,-17.39839744567871
0.34,53.46753893559085,0.21116528,-17.56605339050293
0.35,53.48866665514639,0.39859757,-17.786685943603516
0.36,54.55763809824917,0.49358684,-17.951766967773438
0.37,54.163671791948985,0.24838457,-17.92147445678711
0.38,50.41038423121602,0.3049508,-17.934967041015625
0.39,49.72894236947887,0.11260006,-18.053468704223633
0.4,53.612258459498996,0.104605936,-17.96125602722168
0.41,54.19868636839939,0.075876266,-17.735021591186523
0.42,53.7974446379235,0.027533121,-15.123329162597656
0.43,53.597169022508325,0.033055045,-14.937261581420898
0.44,52.96658865941164,0.025883598,-15.00108814239502
0.45,52.92916573132545,0.0345016,-15.0837984085083
0.46,52.03067017139851,0.2981482,-15.284759521484375
0.47,51.913530236697056,0.2129593,-15.447974205017088
0.48,51.29242925938621,0.2522896,-15.40725326538086
0.49,52.0835385564466,0.09659937,-15.452946662902832
0.5,53.502225331494664,0.07929746,-15.547961235046387
